college,State,region
DePauw University,IN,West
Earlham College,IN,West
University of Evansville,IN,West
Franklin College of Indiana,IN,West
Goshen College,IN,Southeast
Grace College and Theological Seminary,IN,Southwest
Hanover College,IN,North Central
Huntington University,IN,North Central
University of Indianapolis,IN,North Central
Indiana Institute of Technology,IN,Central
Indiana State University,IN,Central
University of Southern Indiana,IN,Central
Indiana University - Bloomington,IN,West
Indiana University - East,IN,West
Indiana University - Purdue University Indianapolis,IN,West
Indiana University - Kokomo,IN,West
Indiana University - Northwest,IN,West
Indiana University - South Bend,IN,Southeast
Indiana University Southeast,IN,Southwest
Manchester University,IN,North Central
Marian University,IN,North Central
Indiana Wesleyan University,IN,North Central
Oakland City University,IN,Central
Purdue University,IN,Central
Purdue University - North Central,IN,Central
Purdue University - Calumet,IN,West
Indiana University - Purdue University - Ft Wayne,IN,West
Rose - Hulman Institute of Technology,IN,West
University of Saint Francis,IN,West
Saint Joseph's College,IN,West
Calumet College of Saint Joseph,IN,Southeast
Saint Mary of the Woods College,IN,Southwest
Saint Mary's College,IN,North Central
Taylor University,IN,North Central
Trine University,IN,North Central
University of Notre Dame,IN,Central
Valparaiso University,IN,Central
Vincennes University,IN,Central
Wabash College,IN,West
International Business College,IN,West
Saint Elizabeth School of Nursing,IN,West
Holy Cross College,IN,West
Saint Meinrad School of Theology,IN,West
ITT Technical Institute,IN,Southeast
Medtech College,IN,Southwest
Lincoln College of Technology,IN,North Central
Ivy Tech Community College of Indiana,IN,North Central
American National University,IN,North Central
Ravenscroft Beauty College,IN,Central
Concordia Theological Seminary,IN,Central
Martin University,IN,Central
Harrison College,IN,West
Don Roberts Beauty School,IN,West
Don Roberts School of Hair Design,IN,West
Kaplan College,IN,West
PJ's College of Cosmetology,IN,West
PJ's College of Cosmetology,IN,Southeast
College of Court Reporting,IN,Southwest
Aviation Institute of Maintenance,IN,West
Crossroads Bible College,IN,West
Allen County Community College,KS,West
Cowley County Community College & Area Vocational Technical School,KS,West
Baker University,KS,South Central
Bethany College,KS,South Central
Bethel College,KS,South Central
Butler County Community College,KS,South Central
Central Christian College of Kansas,KS,Wichita (Sedgwick)
Cloud County Community College,KS,Wichita (Sedgwick)
