,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
38,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Montgomery,22500.0,Circuit 10,Florida,Circuit 10,0.0599289688,2012.0
39,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Montgomery,22500.0,Circuit 1,Florida,Circuit 1,0.0681321317,2012.0
40,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Montgomery,22500.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0652548967,2012.0
41,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Montgomery,22500.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0744446332,2012.0
42,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Montgomery,22500.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0777054875,2012.0
43,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Montgomery,22500.0,Region 6,Texas,Region 6,0.0617497787,2012.0
45,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Region 2,Alabama,Region 2,0.0660446726,2012.0
46,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Region 3,Alabama,Region 3,0.0612054452,2012.0
47,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Circuit 10,Florida,Circuit 10,0.0599289688,2012.0
48,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Circuit 1,Florida,Circuit 1,0.0681321317,2012.0
49,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0652548967,2012.0
50,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0744446332,2012.0
51,fortis college,36609-2012     ,Proprietary,35,96100,79757,0,0,0,746,99405,161560,Mobile,14388.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0777054875,2012.0
