,School,State,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,value,year,location
38,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,296,27901.0,0.0532399619,2013.0,0
39,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,211,26549.0,0.0532399619,2013.0,0
40,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,1334,22707.0,0.0532399619,2013.0,0
41,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,235,30890.0,0.0532399619,2013.0,0
42,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,1003,25172.0,0.0532399619,2013.0,1
43,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,296,27901.0,0.0532399619,2013.0,1
44,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,211,26549.0,0.0532399619,2013.0,1
45,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,1334,22707.0,0.0532399619,2013.0,1
46,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,235,30890.0,0.0532399619,2013.0,1
47,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,858,43594.0,0.0532399619,2013.0,8
48,625,0,865,1,33.0,97317.0,94595,0.0,0.0,0.0,545.0,96256.0,133415.0,1016,24939.0,0.0532399619,2013.0,8
49,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,773,16035.0,0.0532399619,2013.0,5
50,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,788,28764.0,0.0532399619,2013.0,5
51,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,773,16035.0,0.0532399619,2013.0,6
52,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,788,28764.0,0.0532399619,2013.0,6
53,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,1364,31994.0,0.0532399619,2013.0,3
54,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,751,22867.0,0.0532399619,2013.0,3
55,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,899,24069.0,0.0532399619,2013.0,3
56,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,644,15181.0,0.0532399619,2013.0,3
57,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,1364,31994.0,0.0532399619,2013.0,2
58,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,751,22867.0,0.0532399619,2013.0,2
59,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,899,24069.0,0.0532399619,2013.0,2
60,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,644,15181.0,0.0532399619,2013.0,2
61,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,81,28959.0,0.0532399619,2013.0,9
62,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,1003,25172.0,0.0532399619,2013.0,0
