,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award,FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
4045,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vienna,28206.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4046,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vienna,28206.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4047,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vienna,28206.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4048,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vienna,28206.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4053,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 10,California,Region 10,0.080062276,2014.0
4054,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4055,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4056,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4057,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 10,California,Region 10,0.080062276,2014.0
4058,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4059,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4060,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4062,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region II,Illinois,Region II,0.0688290703,2014.0
4063,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4064,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4065,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4066,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4071,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 10,California,Region 10,0.080062276,2014.0
4072,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4073,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4074,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4075,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 10,California,Region 10,0.080062276,2014.0
4076,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4077,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4078,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4080,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region II,Illinois,Region II,0.0688290703,2014.0
4081,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4082,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4083,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4084,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4089,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 10,California,Region 10,0.080062276,2014.0
4090,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4091,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4092,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4093,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 10,California,Region 10,0.080062276,2014.0
4094,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4095,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4096,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4098,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region II,Illinois,Region II,0.0688290703,2014.0
4099,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4100,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4101,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4102,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4107,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 10,California,Region 10,0.080062276,2014.0
4108,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4109,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4110,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4111,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 10,California,Region 10,0.080062276,2014.0
4112,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4113,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4114,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4116,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region II,Illinois,Region II,0.0688290703,2014.0
4117,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4118,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4119,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4120,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4125,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 10,California,Region 10,0.080062276,2014.0
4126,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4127,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4128,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4129,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 10,California,Region 10,0.080062276,2014.0
4130,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4131,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4132,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4134,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region II,Illinois,Region II,0.0688290703,2014.0
4135,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4136,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4137,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4138,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Bremerton,25175.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4143,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 10,California,Region 10,0.080062276,2014.0
4144,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4145,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4146,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4147,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 10,California,Region 10,0.080062276,2014.0
4148,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4149,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4150,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4152,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region II,Illinois,Region II,0.0688290703,2014.0
4153,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4154,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4155,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4156,everest college,809163548,Private/Non-Profit,14,59592,74277,0,0,0,386,84560,144810,Vancouver,26449.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4161,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 10,California,Region 10,0.080062276,2014.0
4162,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4163,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4164,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4165,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 10,California,Region 10,0.080062276,2014.0
4166,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4167,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4168,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4170,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region II,Illinois,Region II,0.0688290703,2014.0
4171,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4172,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4173,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4174,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4179,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 10,California,Region 10,0.080062276,2014.0
4180,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4181,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4182,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4183,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 10,California,Region 10,0.080062276,2014.0
4184,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4185,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4186,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4188,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region II,Illinois,Region II,0.0688290703,2014.0
4189,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4190,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4191,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4192,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4197,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 10,California,Region 10,0.080062276,2014.0
4198,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4199,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4200,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4201,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 10,California,Region 10,0.080062276,2014.0
4202,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4203,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4204,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4206,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region II,Illinois,Region II,0.0688290703,2014.0
4207,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4208,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4209,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4210,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4215,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Region 10,California,Region 10,0.080062276,2014.0
4216,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4217,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4218,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4219,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Region 10,California,Region 10,0.080062276,2014.0
4220,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4221,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4222,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4224,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Region II,Illinois,Region II,0.0688290703,2014.0
4225,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4226,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4227,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4228,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Ontario,22239.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4233,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 10,California,Region 10,0.080062276,2014.0
4234,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4235,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4236,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4237,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 10,California,Region 10,0.080062276,2014.0
4238,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4239,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4240,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4242,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region II,Illinois,Region II,0.0688290703,2014.0
4243,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4244,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4245,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4246,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Reseda,26661.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4251,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 10,California,Region 10,0.080062276,2014.0
4252,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4253,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4254,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4255,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 10,California,Region 10,0.080062276,2014.0
4256,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0787654018,2014.0
4257,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 5R (San Francisco),California,Region 5R (San Francisco),0.0844832908,2014.0
4258,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 4,Colorado,Region 4,0.0799257004,2014.0
4260,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region II,Illinois,Region II,0.0688290703,2014.0
4261,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Eastern (St. Louis City and County),Missouri,Eastern (St. Louis City and County),0.0887806358,2014.0
4262,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Capital District,Nevada,Capital District,0.0855118316,2014.0
4263,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Region 4,Oregon,Region 4,0.0993291383,2014.0
4264,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,San Bernardino,29065.0,Davis County,Utah,Davis County,0.1161013425,2014.0
4269,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 10,California,Region 10,0.080062276,2014.0
4270,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4271,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 21R,California,Region 21R,0.0849147794,2014.0
4272,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 16R (San Diego),California,Region 16R (San Diego),0.0782017244,2014.0
4273,everest college,802294339,Private/Non-Profit,12,35051,19652,0,0,0,154,90538,116214,Anaheim,26364.0,Region 10,California,Region 10,0.080062276,2014.0
