,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award,FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
38,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
39,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
40,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Region 6,Texas,Region 6,0.0733139316,2014.0
42,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
43,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
44,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
45,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
46,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
47,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
48,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
49,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Mobile,25919.0,Region 6,Texas,Region 6,0.0733139316,2014.0
51,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
52,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
53,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
54,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
55,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
56,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
57,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
58,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Montgomery,30031.0,Region 6,Texas,Region 6,0.0733139316,2014.0
60,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
61,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
62,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
63,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
64,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
65,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
66,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
67,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Region 6,Texas,Region 6,0.0733139316,2014.0
69,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
70,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
71,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
72,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
73,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
74,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
75,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
76,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Region 6,Texas,Region 6,0.0733139316,2014.0
78,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
79,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
80,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
81,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
82,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
83,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
84,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
85,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Orange Park,24716.0,Region 6,Texas,Region 6,0.0733139316,2014.0
87,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
88,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
89,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
90,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
91,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
92,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
93,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
94,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Largo,26230.0,Region 6,Texas,Region 6,0.0733139316,2014.0
96,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Baton Rouge,27696.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
97,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Baton Rouge,27696.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
98,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Baton Rouge,27696.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
99,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Baton Rouge,27696.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
100,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Baton Rouge,27696.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
101,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Baton Rouge,27696.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
102,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Baton Rouge,27696.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
103,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Baton Rouge,27696.0,Region 6,Texas,Region 6,0.0733139316,2014.0
105,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
106,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
107,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
108,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
109,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
110,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
111,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
112,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Region 6,Texas,Region 6,0.0733139316,2014.0
114,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
115,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
116,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
117,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
118,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
119,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
120,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
121,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Region 6,Texas,Region 6,0.0733139316,2014.0
123,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
124,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
125,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
126,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
127,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
128,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
129,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
130,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Region 6,Texas,Region 6,0.0733139316,2014.0
132,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Westerville,23668.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
133,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Westerville,23668.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
134,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Westerville,23668.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
135,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Westerville,23668.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
136,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Westerville,23668.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
137,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Westerville,23668.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
138,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Westerville,23668.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
139,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Westerville,23668.0,Region 6,Texas,Region 6,0.0733139316,2014.0
141,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cincinnati,31787.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
142,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cincinnati,31787.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
143,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cincinnati,31787.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
144,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cincinnati,31787.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
145,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cincinnati,31787.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
146,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cincinnati,31787.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
147,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cincinnati,31787.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
148,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cincinnati,31787.0,Region 6,Texas,Region 6,0.0733139316,2014.0
150,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
