,OPE ID,School,State_x,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,State_y,Region,CITY,STABBR,COSTT4_A
0,884300,alaska bible college,AK,996456619,Private/Non-Profit,9,5000.0,6250,0,0,0,15,5000.0,6575,AK,Northern,Palmer,AK,13380.0
1,4138600,alaska christian college,AK,996699755,Private/Non-Profit,13,5000.0,5000,0,0,0,10,5000.0,5000,AK,Anchorage,Soldotna,AK,18094.0
2,106100,alaska pacific university,AK,995084672,Private/Non-Profit,32,41163.0,54884,0,0,0,55,28279.0,37706,AK,South Central,Anchorage,AK,42925.0
3,2576900,charter college,AK,995084103,Proprietary,84,200000.0,202549,0,0,0,1773,316102.0,307545,WA,Region 3,Vancouver,WA,21163.0
4,3461300,ilisagvik college,AK,997230749,Public,9,27453.0,23359,0,0,0,21,22224.0,20665,AK,Anchorage,Barrow,AK,17895.0
5,1146200,university of alaska anchorage,AK,995088050,Public,116,324930.0,335502,0,0,0,1133,335397.0,445027,AK,South Central,Anchorage,AK,13180.0
6,106300,university of alaska fairbanks,AK,997757500,Public,62,279195.0,400925,0,0,0,559,250843.0,312550,AK,South Central,Fairbanks,AK,15035.0
7,106500,university of alaska southeast,AK,998018680,Public,27,37250.0,55516,0,0,0,104,25987.0,47067,AK,Southeast,Juneau,AK,16409.0
9,103400,alabama southern community college,AL,364605698,Public,27,40314.0,40314,0,0,0,85,37889.0,34165,AL,Region 1,Monroeville,AL,10701.0
10,100500,alabama state university,AL,361045714,Public,707,1270571.0,933097,33,0,102011,472,293522.0,434330,AL,Region 3,Normal,AL,18888.0
10,100500,alabama state university,AL,361045714,Public,707,1270571.0,933097,33,0,102011,472,293522.0,434330,AL,Region 3,Montgomery,AL,17400.0
11,2503400,amridge university,AL,361173553,Private/Non-Profit,0,17031.0,0,0,0,0,86,15876.0,8500,AL,Region 2,Montgomery,AL,12300.0
13,100900,auburn university,AL,368495113,Public,230,896893.0,723311,920,0,2004583,674,359008.0,615328,AL,Region 3,Auburn,AL,23788.0
14,831000,auburn university montgomery,AL,361173596,Public,62,156978.0,128315,204,0,490409,180,98735.0,136735,AL,Region 4,Montgomery,AL,16556.0
14,831000,auburn university montgomery,AL,361173596,Public,62,156978.0,128315,204,0,490409,180,98735.0,136735,AL,Region 4,Montgomery,AL,28525.0
15,573300,bevill state community college,AL,351480000,Public,53,116314.0,113437,0,0,0,209,107146.0,105788,AL,Region 4,Jasper,AL,13443.0
16,101200,birmingham-southern college,AL,352540002,Private/Non-Profit,221,167771.0,210096,155,0,299975,104,108094.0,133200,AL,Region 1,Birmingham,AL,44167.0
17,103000,bishop state community college,AL,366035898,Public,100,208214.0,183655,0,0,0,291,116151.0,159543,AL,Region 4,Mobile,AL,10059.0
20,100700,central alabama community college,AL,350100000,Public,20,60100.0,56094,0,0,0,142,72993.0,72993,AL,Region 2,Alexander City,AL,12103.0
20,100700,central alabama community college,AL,350100000,Public,20,60100.0,56094,0,0,0,142,72993.0,72993,AL,Region 2,Bay Minette,AL,11921.0
21,1218200,chattahoochee valley community college,AL,368697917,Public,35,70608.0,64262,0,0,0,42,32310.0,23100,AL,Region 4,Phenix City,AL,6800.0
23,1055400,concordia college alabama,AL,367013323,Private/Non-Profit,31,41374.0,28072,0,0,0,64,39576.0,49420,AL,Region 4,Selma,AL,17655.0
